Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Brunei Darussalam,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Indonesia,60.34,48.90,64.03,55.43,62.80,66.86,72.39,80.30,80.94,83.73,86.30,86.26,87.60,87.94,89.01,87.13,90.62,91.10,92.73,93.55,94.15,94.83,96.00,96.46,97.01
Cambodia,,0.10,0.47,0.55,2.74,4.92,7.09,9.24,18.67,13.50,16.60,17.69,19.78,19.30,23.95,20.50,28.13,30.24,26.40,34.48,31.10,38.75,40.90,43.04,56.10
Lao PDR,17.69,20.27,22.84,31.00,27.99,25.00,33.10,35.63,38.15,40.66,43.14,45.62,46.30,48.00,53.02,57.20,57.97,60.46,66.00,65.47,67.99,70.00,73.03,75.56,78.09
Myanmar,41.32,41.81,42.30,42.78,43.26,43.74,44.20,44.64,45.07,45.49,45.89,46.27,47.00,47.03,47.41,47.79,48.18,48.58,48.99,49.41,48.80,50.27,50.71,51.14,52.00
Malaysia,93.45,93.80,94.16,94.51,94.86,95.20,95.53,95.84,96.14,96.42,96.69,96.94,97.19,97.43,97.68,97.93,98.19,98.46,98.74,99.30,99.32,99.59,99.80,99.94,100.00
Philippines,61.98,63.18,64.37,65.40,66.74,67.91,69.08,70.23,71.30,72.48,73.58,74.67,75.76,76.60,77.92,79.00,80.09,81.20,83.30,83.44,84.57,85.70,86.84,87.50,89.13
Singapore,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Thailand,65.16,66.92,68.68,70.44,72.19,73.94,75.67,77.40,79.10,80.79,82.10,84.12,85.78,87.43,89.08,90.73,92.40,94.07,95.76,97.45,99.70,99.50,99.88,99.99,100.00
Vietnam,73.86,75.11,76.37,77.62,78.87,80.11,81.33,78.40,83.75,84.93,86.09,87.25,89.10,89.54,90.68,96.10,96.00,94.16,95.34,96.10,97.72,99.00,100.00,100.00,99.20
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
