Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Brunei Darussalam,2,0,60.9,83.3,65.7,67.3,81.8,92.5,65,37.7,47.8,33.1,46.3,33.7,63.3,41.6,28.6,10.4,7.6,5.8,6.9,8.1,5.9,4.3
Cambodia,2,0,2,2,2,97,97,97,97,97,97,97,97,89.9,74.6,50.8,34.6,19.9,9.3,17.1,12.8,13.7,10.1,9.5
Indonesia,2,80.8,6693.3,5686.3,8027.1,9199.6,9476,7965.8,6330.5,5921.2,5451.2,5229.5,5787.4,5119.8,4256.7,2725.7,553.7,500.1,299.9,374.8,433,337.5,329.4,310.5
Lao PDR,0,0,4,0,0,43.3,43.3,43.3,43.9,44.7,45.2,42,42.9,35.9,23.1,21.3,19.4,8,3.6,3,2.5,2.7,2.8,1.6
Malaysia,4193.7,4501.8,4469.5,4266.8,5189.4,3944.3,3303.7,3658.4,2637.7,2363.6,2435,2385.3,1966.3,1516.6,1483.6,1042.4,964.3,664.2,571.2,604.5,542.8,485.8,737.6,449.9
Myanmar,2,0,16.6,2,3.4,51.2,75.7,57.4,55.3,31.6,26.6,39.4,45.7,53.7,33,15,1.3,2.4,2,4.1,4.5,5.8,9.7,3
Philippines,3477.2,2322.4,3869.6,3921.1,4264,3706.9,3374.3,2973.8,2311,2218.9,3064.3,2214.4,1795.1,1622.5,1570.6,1232.9,808.6,325.7,397.4,403.4,222,164.9,195.7,136.7
Singapore,4855.2,1823.2,2354.8,2816.5,1154.4,991.9,173.5,-31.51,123,186.8,168,157.5,146.7,181.2,215.8,150.7,331.1,162.6,168.7,226.9,207,111.6,169.3,116.7
Thailand,6984.2,9683.8,10473.1,9293.7,7766.3,9320.9,6648.7,5471.8,4739.4,4971.7,5104.6,5204.7,3612.5,3152.1,2528.5,2317.3,1464.4,1380.6,1197.5,1012,1088.8,832,1171.6,863.3
Viet Nam,2,430,2,2,476.5,700.1,748.6,790.5,565.5,466.2,369.4,353.7,447.4,404.6,419.3,458.7,401.1,298.2,277.5,289.3,311.7,292.9,269.9,252.9
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
