Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,,,,,,,,,,,,,,,54.2216,,,51.4217,38.5215,27.5156,25.3157,23.6158,20.8213,,
Indonesia,,,,,,,19.82,,,26.02,,,21.12,20.22,20.12,20.02,21.82,20.42,18.92,17.42,16.62,15.72,15.12,14.3105,14.22
Lao People's Democratic Republic,,,51.813,,,,,42.513,,,,,37.613,,,,,31.713,,,,,28.6214,,
Malaysia,,,21.2117,,,14.9117,,10.9117,,14.8117,,,13.5117,,11.9117,,,7.1117,,8.4117,,,3.4116,,
Myanmar,,,,,,,,,,,79.776,,,,,,,,,73.17,,,,,
Philippines,,,,,,,,,,,,,,,31.8165,,,36.9172,,,,,,,
Singapore,,,,,,,,,,,,,,73.816,,,,54.492,,49.292,,,,,
Thailand,66.251,,60.052,,50.653,,42.354,,46.855,,51.756,,40.457,,33.758,,30.459,27.26,27.561,25.162,23.163,16.7209,,,
Viet Nam,,,,,,,,,,,,,,,,,,,,,26.981,,22.1166,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
