Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Brunei Darussalam,,,,,,,,,,,,,,,
Indonesia,,,21.1,20.2,20.1,20,21.8,20.4,18.9,17.4,16.6,15.7,15.1,14.3,14.2
Cambodia,,,,54.2,,,51.4,,38.5,27.5,25.3,23.6,20.8,,
Lao PDR,,,37.6,,,,,31.7,,,,,28.6,,
Myanmar,,,,,,,,,,,,,,,
Malaysia,,,13.5,,11.9,,,7.1,,8.4,,,3.4,,1.6
Philippines,,,,,,,,,,,,,,,
Singapore,,,,,,,,,,,,,,,
Thailand,51.4,,40.2,,33.6,,28.3,25.9,27.3,23.6,22.4,16.7,16,13.9,
Vietnam,,,,,,,,,,,26.9,,22.1,,18.6
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
