,Angkatan,Jenis Kelamin,Tinggal,Frekuensi Kategori,Jenis,Transaksi,Membantu,Perbandingan_frekuensi,E-Wallet,Alasan,Domisili,Frekuensi,Transportasi,Membeli makanan dan minuman,"Tagihan (Pulsa, Listrik, PAM, dll)",Online Shop / E-Commerce,"Entertainment (Netflix, Spotify, Viu, dll)",Voucher Game,"Berbagi (KitaBisa, Sumbangan Online, dll)",Menghindari uang fisik (Takut tertular virus Covid-19),Terbiasa sejak sebelum pandemi,Tidak bisa keluar rumah untuk mengambil uang di ATM,Penggunaan E-Wallet yang mudah dan praktis,Merchant tempat transaksi mewajibkan anda untuk membayar menggunakan E-Wallet,Sering ada promo dan diskon
0,2019,Pria,Bersama keluarga,1 - 3 kali,Gopay,"Transportasi, Membeli makanan dan minuman, Online Shop / E-Commerce, Berbagi (KitaBisa, Sumbangan Online, dll)",Ya,Meningkat,Gopay,,Jabodetabek,2,1,1,0,1,0,0,1,0,0,0,0,0,0
1,2019,Pria,Bersama keluarga,1 - 3 kali,"Gopay, DANA","Transportasi, Membeli makanan dan minuman",Ya,Meningkat,Gopay,,Jabodetabek,2,1,1,0,0,0,0,0,0,0,0,0,0,0
2,2019,Pria,Bersama keluarga,1 - 3 kali,Gopay,"Transportasi, Membeli makanan dan minuman",Ya,Tidak terdampak,Gopay,,Jabodetabek,2,1,1,0,0,0,0,0,0,0,0,0,0,0
3,2019,Pria,Bersama keluarga,1 - 3 kali,"Gopay, DANA","Transportasi, Membeli makanan dan minuman, Tagihan (Pulsa, Listrik, PAM, dll), Online Shop / E-Commerce",Ya,Meningkat,Gopay,,Jabodetabek,2,1,1,1,1,0,0,0,0,0,0,0,0,0
4,2019,Pria,Bersama keluarga,1 - 3 kali,"Gopay, DOKU, Jenius","Transportasi, Membeli makanan dan minuman, Tagihan (Pulsa, Listrik, PAM, dll), Online Shop / E-Commerce, Entertainment (Netflix, Spotify, Viu, dll), Voucher Game, Berbagi (KitaBisa, Sumbangan Online, dll)",Ya,Tidak terdampak,Gopay,,Jabodetabek,2,1,1,1,1,1,1,1,0,0,0,0,0,0
5,2019,Pria,Bersama keluarga,1 - 3 kali,"ShopeePay, Gopay, DANA, Jenius","Transportasi, Membeli makanan dan minuman, Online Shop / E-Commerce, Entertainment (Netflix, Spotify, Viu, dll), Berbagi (KitaBisa, Sumbangan Online, dll)",Ya,Meningkat,Gopay,,Jabodetabek,2,1,1,0,1,1,0,1,0,0,0,0,0,0
6,2019,Pria,Bersama keluarga,4 - 7 kali,Gopay,"Membeli makanan dan minuman, Online Shop / E-Commerce, Entertainment (Netflix, Spotify, Viu, dll)",Ya,Meningkat,Gopay,,Jabodetabek,6,0,1,0,1,1,0,0,0,0,0,0,0,0
7,2019,Pria,Bersama keluarga,1 - 3 kali,"Gopay, DANA","Transportasi, Tagihan (Pulsa, Listrik, PAM, dll), Entertainment (Netflix, Spotify, Viu, dll)",Ya,Menurun,Gopay,,Jabodetabek,3,1,0,1,0,1,0,0,0,0,0,0,0,0
8,2019,Pria,Bersama keluarga,>7 kali,"ShopeePay, Gopay, OVO, DANA","Transportasi, Membeli makanan dan minuman, Online Shop / E-Commerce",Ya,Tidak terdampak,OVO,Penggunaan E-Wallet yang mudah dan praktis,Jabodetabek,10,1,1,0,1,0,0,0,0,0,0,1,0,0
9,2020,Pria,Bersama keluarga,1 - 3 kali,"Gopay, OVO","Membeli makanan dan minuman, Tagihan (Pulsa, Listrik, PAM, dll), Online Shop / E-Commerce, Voucher Game",Ya,Menurun,OVO,"Terbiasa sejak sebelum pandemi, Penggunaan E-Wallet yang mudah dan praktis",Jabodetabek,3,0,1,1,1,0,1,0,0,1,0,1,0,0
10,2019,Pria,Bersama keluarga,1 - 3 kali,"Gopay, OVO, DANA","Transportasi, Membeli makanan dan minuman, Tagihan (Pulsa, Listrik, PAM, dll), Online Shop / E-Commerce, Entertainment (Netflix, Spotify, Viu, dll), Voucher Game",Ya,Meningkat,Gopay,"Terbiasa sejak sebelum pandemi, Tidak bisa keluar rumah untuk mengambil uang di ATM, Penggunaan E-Wallet yang mudah dan praktis, Merchant tempat transaksi mewajibkan anda untuk membayar menggunakan E-Wallet",Jabodetabek,3,1,1,1,1,1,1,0,0,1,1,1,1,0
11,2019,Pria,Bersama keluarga,1 - 3 kali,"Gopay, OVO","Transportasi, Membeli makanan dan minuman",Ya,Meningkat,Gopay,"Terbiasa sejak sebelum pandemi, Penggunaan E-Wallet yang mudah dan praktis",Jabodetabek,3,1,1,0,0,0,0,0,0,1,0,1,0,0
12,2019,Pria,Bersama keluarga,1 - 3 kali,"Gopay, Jenius","Membeli makanan dan minuman, Online Shop / E-Commerce, Voucher Game",Ya,Tidak terdampak,Jenius,"Terbiasa sejak sebelum pandemi, Penggunaan E-Wallet yang mudah dan praktis",Luar Pulau Jawa,3,0,1,0,1,0,1,0,0,1,0,1,0,0
13,2019,Wanita,Bersama keluarga,4 - 7 kali,"ShopeePay, Gopay, DANA, LinkAja","Membeli makanan dan minuman, Online Shop / E-Commerce, Entertainment (Netflix, Spotify, Viu, dll)",Ya,Meningkat,Gopay,"Terbiasa sejak sebelum pandemi, Tidak bisa keluar rumah untuk mengambil uang di ATM, Penggunaan E-Wallet yang mudah dan praktis, Merchant tempat transaksi mewajibkan anda untuk membayar menggunakan E-Wallet",Jabodetabek,6,0,1,0,1,1,0,0,0,1,1,1,1,0
14,2020,Pria,Bersama keluarga,1 - 3 kali,"Gopay, OVO","Transportasi, Membeli makanan dan minuman, Tagihan (Pulsa, Listrik, PAM, dll), Online Shop / E-Commerce, Voucher Game",Ya,Meningkat,Gopay,"Menghindari uang fisik (Takut tertular virus Covid-19), Terbiasa sejak sebelum pandemi, Tidak bisa keluar rumah untuk mengambil uang di ATM, Penggunaan E-Wallet yang mudah dan praktis",Jabodetabek,3,1,1,1,1,0,1,0,1,1,1,1,0,0
15,2019,Pria,Bersama keluarga,4 - 7 kali,"ShopeePay, Gopay, OVO","Membeli makanan dan minuman, Online Shop / E-Commerce",Ya,Meningkat,OVO,"Terbiasa sejak sebelum pandemi, Penggunaan E-Wallet yang mudah dan praktis, Sering ada promo dan diskon",Jabodetabek,7,0,1,0,1,0,0,0,0,1,0,1,0,1
16,2019,Wanita,Bersama keluarga,1 - 3 kali,"ShopeePay, Gopay, OVO, DANA","Membeli makanan dan minuman, Online Shop / E-Commerce, Berbagi (KitaBisa, Sumbangan Online, dll)",Ya,Meningkat,OVO,"Penggunaan E-Wallet yang mudah dan praktis, Sering ada promo dan diskon",Jabodetabek,3,0,1,0,1,0,0,1,0,0,0,1,0,1
